nom_de_la_commune,code_postal,ligne_5
MONT NOTRE DAME,2220,
LE NOYER EN OUCHE,27410,
GASNY,27620,
MONT ST JEAN,2360,
LE VAL DORE,27190,LE FRESNE
GLOS SUR RISLE,27290,
MURET ET CROUTTES,2210,
PITRES,27590,
LA GOULAFRIERE,27390,
NESLES LA MONTAGNE,2400,
PLASNES,27300,
GRAVIGNY,27930,
NEUFCHATEL SUR AISNE,2190,
QUITTEBEUF,27110,
GROSSOEUVRE,27220,
LE NOUVION EN THIERACHE,2170,
RADEPONT,27380,
LE BOSC DU THEIL,27370,ST NICOLAS DU BOSC
OGNES,2300,
RENNEVILLE,27910,
HEBECOURT,27150,
ORAINVILLE,2190,
LA ROQUETTE,27700,
HECTOMARE,27110,
OSLY COURTIL,2290,
RUGLES,27250,
HEUBECOURT HARICOURT,27630,HEUBECOURT
PANCY COURTECON,2860,
ST ANDRE DE L EURE,27220,
HEUDEBOUVILLE,27600,
PAPLEUX,2260,
TREIS SANTS EN OUCHE,27300,ST AUBIN LE VERTUEUX
HEUDREVILLE SUR EURE,27400,
PARCY ET TIGNY,2210,
ST AUBIN SUR QUILLEBEUF,27680,
ILLEVILLE SUR MONTFORT,27290,
PARFONDRU,2840,
ST CYR LA CAMPAGNE,27370,
JUIGNETTES,27250,
PARGNY LA DHUYS,2330,
ST DENIS D AUGERONS,27390,
LA LANDE ST LEGER,27210,ST LEGER SUR BONNEVILLE
PARGNY LES BOIS,2270,
ST DENIS LE FERMENT,27140,ST PAER
LAUNAY,27470,
PARPEVILLE,2240,
ST ETIENNE DU VAUVRAY,27430,
LOUYE,27650,
PLOISY,2200,
ST JULIEN DE LA LIEGUE,27600,
LYONS LA FORET,27480,
PONTRU,2490,
ST MARCEL,27950,
LE MANOIR,27460,
PROUVAIS,2190,
LE LESME,27160,GUERNANVILLE
MELICOURT,27390,
QUIERZY,2300,
LE LESME,27160,STE MARGUERITE DE L AUTEL
MENESQUEVILLE,27850,
QUINCY BASSE,2380,
ST MESLIN DU BOSC,27370,
MENILLES,27120,
RAMICOURT,2110,
ST OUEN DU TILLEUL,27670,
MEREY,27640,
REGNY,2240,
ST PIERRE DE CERNIERES,27390,
MISEREY,27930,
REMIES,2270,
ST PIERRE DU VAL,27210,
MONTREUIL L ARGILLE,27390,
REMIGNY,2440,
ST PIERRE DU VAUVRAY,27430,
MORAINVILLE JOUVEAUX,27260,JOUVEAUX
REUILLY SAUVIGNY,2850,
ST SYMPHORIEN,27500,
MORGNY,27150,
ROUCY,2160,
ST VINCENT DU BOULAY,27230,
NASSANDRES SUR RISLE,27550,FONTAINE LA SORET
ROUVROY,2100,
SASSEY,27930,
NEAUFLES AUVERGNY,27250,
ROUVROY SUR SERRE,2360,
SUZAY,27420,
LE NEUBOURG,27110,
GRAND ROZOY,2210,
LE THEIL NOLENT,27230,
NORMANVILLE,27930,
